State,State Abbreviation,Region,Division,Date,House Price Index,Household Income,Income Range,GDP,Population
Alaska,AK,West,Pacific,2015-01-01,303.7,75110,High Income,51574200000,738430
Alaska,AK,West,Pacific,2016-01-01,311.84,75720,High Income,51121800000,742575
Alaska,AK,West,Pacific,2017-01-01,315.52,77990,High Income,53550900000,740983
Alaska,AK,West,Pacific,2018-01-01,319.58,68730,Mid-high Income,54762000000,736624
Alaska,AK,West,Pacific,2019-01-01,324.48,78390,High Income,54469900000,733603
Alaska,AK,West,Pacific,2020-01-01,334.33,74750,Mid-high Income,51261500000,732964
Alaska,AK,West,Pacific,2021-01-01,348.35,81130,High Income,58646000000,734923
Alaska,AK,West,Pacific,2022-01-01,393.97,89740,High Income,65698800000,733276
Arizona,AZ,West,Mountain,1997-01-01,171.5,32740,Low Income,132694799999,4552207
Arizona,AZ,West,Mountain,1998-01-01,180.56,37090,Mid-low Income,144393200000,4667277
Arizona,AZ,West,Mountain,1999-01-01,188.54,37000,Mid-low Income,156442100000,4778332
Arizona,AZ,West,Mountain,2000-01-01,199.91,39780,Mid-low Income,165735600000,5160586
Arizona,AZ,West,Mountain,2001-01-01,212.57,42700,Mid-high Income,172899600000,5273477
Arizona,AZ,West,Mountain,2002-01-01,224.1,39730,Mid-low Income,180844500000,5396255
Arizona,AZ,West,Mountain,2003-01-01,236.41,41170,Mid-low Income,194318000000,5510364
Arizona,AZ,West,Mountain,2004-01-01,255.1,43850,Mid-high Income,207246300000,5652404
Arizona,AZ,West,Mountain,2005-01-01,308.79,45250,Mid-high Income,227997800000,5839077
Arizona,AZ,West,Mountain,2006-01-01,409.98,46660,Mid-low Income,246061100000,6029141
Arizona,AZ,West,Mountain,2007-01-01,424.27,47220,Mid-low Income,261152800000,6167681
Arizona,AZ,West,Mountain,2008-01-01,390.96,46910,Mid-low Income,261005800000,6280362
Arizona,AZ,West,Mountain,2009-01-01,328.36,45740,Mid-low Income,244862200000,6343154
Arizona,AZ,West,Mountain,2010-01-01,272.65,46900,Mid-low Income,250527000000,6407342
Arizona,AZ,West,Mountain,2011-01-01,241.87,48620,Mid-low Income,261691400000,6473416
Arizona,AZ,West,Mountain,2012-01-01,236.03,47040,Mid-low Income,272703300000,6556344
Arizona,AZ,West,Mountain,2013-01-01,262.36,52610,Mid-low Income,278679500000,6634690
Arizona,AZ,West,Mountain,2014-01-01,295.76,49250,Mid-low Income,286676000000,6732873
Arizona,AZ,West,Mountain,2015-01-01,311.74,52250,Mid-low Income,298942200000,6832810
Arizona,AZ,West,Mountain,2016-01-01,333.31,57100,Mid-low Income,313787100000,6944767
Arizona,AZ,West,Mountain,2017-01-01,356.64,59700,Mid-low Income,333099000000,7048088
Arizona,AZ,West,Mountain,2018-01-01,385.76,62280,Mid-low Income,353671000000,7164228
Arizona,AZ,West,Mountain,2019-01-01,412.91,70670,Mid-high Income,375545000000,7291843
Arizona,AZ,West,Mountain,2020-01-01,443.52,67090,Mid-low Income,386443500000,7186683
Arizona,AZ,West,Mountain,2021-01-01,499.95,70820,Mid-low Income,432279800000,7272487
Arizona,AZ,West,Mountain,2022-01-01,643.76,73450,Mid-high Income,475653700000,7365684
Arkansas,AR,South,West South Central,1997-01-01,164.67,26160,Low Income,59925000000,2524007
Arkansas,AR,South,West South Central,1998-01-01,171.13,27670,Low Income,62852000000,2538202
Arkansas,AR,South,West South Central,1999-01-01,176.55,29680,Low Income,67279000000,2551373
Arkansas,AR,South,West South Central,2000-01-01,178.98,29700,Low Income,69176300000,2678588
Arkansas,AR,South,West South Central,2001-01-01,188.85,33340,Low Income,71099600000,2691571
Arkansas,AR,South,West South Central,2002-01-01,194.58,32390,Low Income,74453100000,2705927
Arkansas,AR,South,West South Central,2003-01-01,202.6,32000,Low Income,79009700000,2724816
Arkansas,AR,South,West South Central,2004-01-01,212.11,34980,Low Income,85928600000,2749686
Arkansas,AR,South,West South Central,2005-01-01,226.19,36660,Low Income,91133400000,2781097
Arkansas,AR,South,West South Central,2006-01-01,243.21,37060,Low Income,96073700000,2821761
Arkansas,AR,South,West South Central,2007-01-01,253.78,40800,Low Income,98325000000,2848650
Arkansas,AR,South,West South Central,2008-01-01,255.91,39590,Low Income,100206700000,2874554
Arkansas,AR,South,West South Central,2009-01-01,255.62,36540,Low Income,97783900000,2896843
Arkansas,AR,South,West South Central,2010-01-01,244.07,38590,Low Income,101699300000,2921998
Arkansas,AR,South,West South Central,2011-01-01,240.6,41300,Low Income,105697600000,2941038
Arkansas,AR,South,West South Central,2012-01-01,241.7,39020,Low Income,108836000000,2952876
Arkansas,AR,South,West South Central,2013-01-01,244.85,39380,Low Income,114021100000,2960459
Arkansas,AR,South,West South Central,2014-01-01,246.87,44920,Low Income,117388700000,2968759
Arkansas,AR,South,West South Central,2015-01-01,251.8,42800,Low Income,118573600000,2979732
Arkansas,AR,South,West South Central,2016-01-01,256.97,45910,Low Income,120987400000,2991815
Arkansas,AR,South,West South Central,2017-01-01,267.72,49750,Low Income,123882600000,3003855
Arkansas,AR,South,West South Central,2018-01-01,276.91,49780,Low Income,129213800000,3012161
Arkansas,AR,South,West South Central,2019-01-01,286.65,54540,Low Income,132637200000,3020985
Arkansas,AR,South,West South Central,2020-01-01,297.54,50780,Low Income,135884500000,3014348
Arkansas,AR,South,West South Central,2021-01-01,317.79,50780,Low Income,151931900000,3028443
Arkansas,AR,South,West South Central,2022-01-01,378.23,53980,Low Income,165989300000,3046404
California,CA,West,Pacific,1997-01-01,202.6,39690,Mid-high Income,1068048600000,32217708
California,CA,West,Pacific,1998-01-01,216.96,40930,Mid-high Income,1143672500000,32682794
California,CA,West,Pacific,1999-01-01,235.43,43630,Mid-high Income,1239773500000,33145121
California,CA,West,Pacific,2000-01-01,260.98,46820,High Income,1354791300000,33987977
California,CA,West,Pacific,2001-01-01,296.6,47260,High Income,1373270800000,34479458
California,CA,West,Pacific,2002-01-01,324.95,47440,High Income,1419321800000,34871843
California,CA,West,Pacific,2003-01-01,367.11,49300,High Income,1498578000000,35253159
California,CA,West,Pacific,2004-01-01,424.65,49220,High Income,1585081400000,35574576
California,CA,West,Pacific,2005-01-01,538.8,51760,High Income,1698858400000,35827943
California,CA,West,Pacific,2006-01-01,638.6,55320,High Income,1812161600000,36021202
California,CA,West,Pacific,2007-01-01,634.09,55730,High Income,1900220400000,36250311
California,CA,West,Pacific,2008-01-01,543.36,57010,High Income,1946241500000,36604337
California,CA,West,Pacific,2009-01-01,440.74,56130,High Income,1879809500000,36961229
California,CA,West,Pacific,2010-01-01,409.6,54280,Mid-high Income,1938603300000,37319550
California,CA,West,Pacific,2011-01-01,391.58,53370,Mid-high Income,2014050300000,37636311
California,CA,West,Pacific,2012-01-01,381.42,57020,Mid-high Income,2108873100000,37944551
California,CA,West,Pacific,2013-01-01,407.71,60790,Mid-high Income,2223300900000,38253768
California,CA,West,Pacific,2014-01-01,471.87,60490,Mid-high Income,2342218800000,38586706
California,CA,West,Pacific,2015-01-01,505.64,63640,High Income,2487156400000,38904296
California,CA,West,Pacific,2016-01-01,544.51,66640,High Income,2586485200000,39149186
California,CA,West,Pacific,2017-01-01,579.06,70040,High Income,2740550300000,39337785
California,CA,West,Pacific,2018-01-01,621.95,70490,High Income,2899530900000,39437463
California,CA,West,Pacific,2019-01-01,645.88,78110,High Income,3062158900000,39437610
California,CA,West,Pacific,2020-01-01,669.9,77650,Mid-high Income,3068809400000,39503200
California,CA,West,Pacific,2021-01-01,719.24,81580,High Income,3416939400000,39145060
California,CA,West,Pacific,2022-01-01,868.25,85300,High Income,3641643400000,39040616
Colorado,CO,West,Mountain,1997-01-01,204.48,43230,High Income,136624400000,3891293
Colorado,CO,West,Mountain,1998-01-01,216.75,46600,High Income,149653700000,3968967
Colorado,CO,West,Mountain,1999-01-01,230.46,48180,High Income,162411700000,4056133
Colorado,CO,West,Mountain,2000-01-01,259.05,48240,High Income,179303300000,4326921
Colorado,CO,West,Mountain,2001-01-01,286.25,49400,High Income,185848900000,4425687
Colorado,CO,West,Mountain,2002-01-01,303.39,48290,High Income,189604600000,4490406
Colorado,CO,West,Mountain,2003-01-01,313.9,49940,High Income,195137600000,4528732
Colorado,CO,West,Mountain,2004-01-01,322.73,50890,High Income,203743300000,4575013
Colorado,CO,West,Mountain,2005-01-01,336.47,50450,Mid-high Income,220803800000,4631888
Colorado,CO,West,Mountain,2006-01-01,351.21,55700,High Income,232853600000,4720423
Colorado,CO,West,Mountain,2007-01-01,358.79,61140,High Income,248571600000,4803868
Colorado,CO,West,Mountain,2008-01-01,360.26,60940,High Income,257606100000,4889730
Colorado,CO,West,Mountain,2009-01-01,358.6,55930,High Income,249817100000,4972195
Colorado,CO,West,Mountain,2010-01-01,339.57,60230,High Income,256771800000,5047539
Colorado,CO,West,Mountain,2011-01-01,329.8,58630,High Income,266114099999,5121900
Colorado,CO,West,Mountain,2012-01-01,328.38,57260,High Income,274738800000,5193660
Colorado,CO,West,Mountain,2013-01-01,341.8,67910,High Income,291265300000,5270774
Colorado,CO,West,Mountain,2014-01-01,365.24,60940,High Income,309223900000,5352637
Colorado,CO,West,Mountain,2015-01-01,399.35,66600,High Income,320895900000,5454328
Colorado,CO,West,Mountain,2016-01-01,444.67,70570,High Income,330565900000,5543844
Colorado,CO,West,Mountain,2017-01-01,487.73,74980,High Income,350209100000,5617421
Colorado,CO,West,Mountain,2018-01-01,533.86,73030,High Income,373923100000,5697155
Colorado,CO,West,Mountain,2019-01-01,565.25,72500,Mid-high Income,397701600000,5758486
Colorado,CO,West,Mountain,2020-01-01,590.58,83780,High Income,397612200000,5785219
Colorado,CO,West,Mountain,2021-01-01,636.05,84950,High Income,447051700000,5811596
Colorado,CO,West,Mountain,2022-01-01,773.68,89930,High Income,491289000000,5841039
Connecticut,CT,Northeast,New England,1997-01-01,224.16,43990,High Income,138467000000,3268514
Connecticut,CT,Northeast,New England,1998-01-01,235.58,46510,High Income,145299200000,3272563
Connecticut,CT,Northeast,New England,1999-01-01,245.56,50590,High Income,152093700000,3282031
Connecticut,CT,Northeast,New England,2000-01-01,261.07,50170,High Income,165523400000,3411777
Connecticut,CT,Northeast,New England,2001-01-01,284.63,53350,High Income,171124400000,3432835
Connecticut,CT,Northeast,New England,2002-01-01,309.53,53390,High Income,172929700000,3458749
Connecticut,CT,Northeast,New England,2003-01-01,338.17,54970,High Income,177814800000,3484336
Connecticut,CT,Northeast,New England,2004-01-01,371.14,55100,High Income,194722900000,3496094
Connecticut,CT,Northeast,New England,2005-01-01,420.83,56840,High Income,204504600000,3506956
Connecticut,CT,Northeast,New England,2006-01-01,461.95,62400,High Income,219812200000,3517460
Connecticut,CT,Northeast,New England,2007-01-01,470.51,64140,High Income,232626800000,3527270
Connecticut,CT,Northeast,New England,2008-01-01,461.82,64680,High Income,236110700000,3545579
Connecticut,CT,Northeast,New England,2009-01-01,436.74,64850,High Income,231628000000,3561807
Connecticut,CT,Northeast,New England,2010-01-01,405.76,66000,High Income,234022200000,3579173
Connecticut,CT,Northeast,New England,2011-01-01,396.08,65420,High Income,233058700000,3588632
Connecticut,CT,Northeast,New England,2012-01-01,386.38,64250,High Income,239907500000,3595211
Connecticut,CT,Northeast,New England,2013-01-01,382.9,69290,High Income,240549200000,3595792
Connecticut,CT,Northeast,New England,2014-01-01,376.21,70160,High Income,247114700000,3595697
Connecticut,CT,Northeast,New England,2015-01-01,386.3,72890,High Income,260648500000,3588561
Connecticut,CT,Northeast,New England,2016-01-01,384.86,75920,High Income,264760400000,3579830
Connecticut,CT,Northeast,New England,2017-01-01,384.93,74300,High Income,273875099999,3575324
Connecticut,CT,Northeast,New England,2018-01-01,391.02,72810,High Income,280535400000,3574561
Connecticut,CT,Northeast,New England,2019-01-01,397.66,87290,High Income,285466400000,3566022
Connecticut,CT,Northeast,New England,2020-01-01,412.62,79430,High Income,275801900000,3577586
Connecticut,CT,Northeast,New England,2021-01-01,449.26,80960,High Income,295907500000,3603691
Connecticut,CT,Northeast,New England,2022-01-01,521.94,90730,High Income,319344800000,3608706
Delaware,DE,South,South Atlantic,1997-01-01,233.65,43030,High Income,33302199999,735024
Delaware,DE,South,South Atlantic,1998-01-01,241.67,41460,Mid-high Income,37170600000,744066
Delaware,DE,South,South Atlantic,1999-01-01,248.87,46630,High Income,40446500000,753538
Delaware,DE,South,South Atlantic,2000-01-01,260.31,50370,High Income,43559600000,786373
Delaware,DE,South,South Atlantic,2001-01-01,279.13,49600,High Income,46373800000,795699
Delaware,DE,South,South Atlantic,2002-01-01,298.6,49650,High Income,45865400000,806169
Delaware,DE,South,South Atlantic,2003-01-01,323.92,49020,High Income,47839600000,818003
Delaware,DE,South,South Atlantic,2004-01-01,362.15,48050,Mid-high Income,51674100000,830803
Delaware,DE,South,South Atlantic,2005-01-01,415.72,51240,High Income,52048600000,845150
Delaware,DE,South,South Atlantic,2006-01-01,471.76,52440,Mid-high Income,55567700000,859268
Delaware,DE,South,South Atlantic,2007-01-01,494.56,54590,High Income,56705600000,871749
Delaware,DE,South,South Atlantic,2008-01-01,490.48,50700,Mid-high Income,55250800000,883874
Delaware,DE,South,South Atlantic,2009-01-01,469.58,52110,Mid-high Income,57729900000,891730
Delaware,DE,South,South Atlantic,2010-01-01,437.91,55210,Mid-high Income,58132200000,899647
Delaware,DE,South,South Atlantic,2011-01-01,419.11,54660,Mid-high Income,61379400000,907590
Delaware,DE,South,South Atlantic,2012-01-01,405.1,48970,Mid-low Income,62342100000,915518
Delaware,DE,South,South Atlantic,2013-01-01,402.66,54090,Mid-high Income,62058200000,924062
Delaware,DE,South,South Atlantic,2014-01-01,406.17,57520,Mid-high Income,68606000000,933131
Delaware,DE,South,South Atlantic,2015-01-01,419.97,57760,Mid-high Income,72352500000,942065
Delaware,DE,South,South Atlantic,2016-01-01,424.55,58050,Mid-high Income,70021500000,949989
Delaware,DE,South,South Atlantic,2017-01-01,435.18,64960,Mid-high Income,69555600000,957942
Delaware,DE,South,South Atlantic,2018-01-01,449.27,65010,Mid-high Income,73376000000,966985
Delaware,DE,South,South Atlantic,2019-01-01,460.63,74190,Mid-high Income,78685800000,976668
Delaware,DE,South,South Atlantic,2020-01-01,482.66,70020,Mid-high Income,77615100000,991862
Delaware,DE,South,South Atlantic,2021-01-01,519.51,68690,Mid-low Income,82952800000,1004881
Delaware,DE,South,South Atlantic,2022-01-01,605.35,80750,Mid-high Income,90208300000,1019459
District of Columbia,DC,South,South Atlantic,1997-01-01,190.68,31860,Low Income,52581600000,528752
District of Columbia,DC,South,South Atlantic,1998-01-01,198.44,33430,Low Income,54877400000,521426
District of Columbia,DC,South,South Atlantic,1999-01-01,208.84,38670,Mid-low Income,58948800000,519000
District of Columbia,DC,South,South Atlantic,2000-01-01,236.07,41220,Mid-high Income,61267700000,572046
District of Columbia,DC,South,South Atlantic,2001-01-01,267.77,41170,Mid-low Income,65620000000,574504
District of Columbia,DC,South,South Atlantic,2002-01-01,310.03,39070,Mid-low Income,70078000000,573158
District of Columbia,DC,South,South Atlantic,2003-01-01,354.15,45040,Mid-high Income,74047000000,568502
District of Columbia,DC,South,South Atlantic,2004-01-01,407.26,43450,Mid-high Income,80600700000,567754
District of Columbia,DC,South,South Atlantic,2005-01-01,504.02,44990,Mid-high Income,85414500000,567136
District of Columbia,DC,South,South Atlantic,2006-01-01,603.35,48480,Mid-high Income,88350900000,570681
District of Columbia,DC,South,South Atlantic,2007-01-01,632.53,50780,Mid-high Income,94013800000,574404
District of Columbia,DC,South,South Atlantic,2008-01-01,613.97,55590,High Income,99240400000,580236
District of Columbia,DC,South,South Atlantic,2009-01-01,579.77,53140,Mid-high Income,100430100000,592228
District of Columbia,DC,South,South Atlantic,2010-01-01,558.52,56930,High Income,106128600000,605282
District of Columbia,DC,South,South Atlantic,2011-01-01,561.71,55250,Mid-high Income,109953900000,620290
District of Columbia,DC,South,South Atlantic,2012-01-01,582.7,65250,High Income,112512700000,635737
District of Columbia,DC,South,South Atlantic,2013-01-01,617.39,60060,Mid-high Income,114832700000,651559
District of Columbia,DC,South,South Atlantic,2014-01-01,673.79,68280,High Income,119998000000,663603
District of Columbia,DC,South,South Atlantic,2015-01-01,718.97,70070,High Income,124753600000,677014
District of Columbia,DC,South,South Atlantic,2016-01-01,768.75,70980,High Income,129933500000,687576
District of Columbia,DC,South,South Atlantic,2017-01-01,802.72,81280,High Income,134298799999,697079
District of Columbia,DC,South,South Atlantic,2018-01-01,849.28,85750,High Income,141240200000,704147
District of Columbia,DC,South,South Atlantic,2019-01-01,884.26,93110,High Income,145171000000,708253
District of Columbia,DC,South,South Atlantic,2020-01-01,917.72,88220,High Income,146935300000,670839
District of Columbia,DC,South,South Atlantic,2021-01-01,960.78,90640,High Income,156139900000,669037
District of Columbia,DC,South,South Atlantic,2022-01-01,1059.99,101700,High Income,165060500000,670949
Florida,FL,South,South Atlantic,1997-01-01,175.91,32460,Low Income,401744200000,14683350
Florida,FL,South,South Atlantic,1998-01-01,184.76,34910,Low Income,428595600000,14908230
Florida,FL,South,South Atlantic,1999-01-01,190.78,35830,Low Income,457607000000,15111244
Florida,FL,South,South Atlantic,2000-01-01,200.78,38860,Mid-low Income,490094400000,16047515
Florida,FL,South,South Atlantic,2001-01-01,219.19,36420,Low Income,519140700000,16356966
Florida,FL,South,South Atlantic,2002-01-01,240.08,38020,Mid-low Income,553359900000,16689369
Florida,FL,South,South Atlantic,2003-01-01,265.72,38970,Mid-low Income,590284800000,17004085
Florida,FL,South,South Atlantic,2004-01-01,300.52,40540,Mid-low Income,647041800000,17415318
Florida,FL,South,South Atlantic,2005-01-01,368.37,42990,Mid-low Income,704890300000,17842038
Florida,FL,South,South Atlantic,2006-01-01,463.36,45680,Mid-low Income,749925000000,18166990
Florida,FL,South,South Atlantic,2007-01-01,477.12,45790,Low Income,781947300000,18367842
Florida,FL,South,South Atlantic,2008-01-01,424.82,44860,Low Income,767357800000,18527305
Florida,FL,South,South Atlantic,2009-01-01,350.45,45630,Mid-low Income,739322400000,18652644
Florida,FL,South,South Atlantic,2010-01-01,299.74,44070,Low Income,752998400000,18846143
Florida,FL,South,South Atlantic,2011-01-01,275.72,45110,Low Income,761043100000,19055607
Florida,FL,South,South Atlantic,2012-01-01,267.16,46070,Low Income,784545900000,19302016
Florida,FL,South,South Atlantic,2013-01-01,279.04,48530,Mid-low Income,819679800000,19551678
Florida,FL,South,South Atlantic,2014-01-01,307.49,46140,Low Income,860112600000,19853880
Florida,FL,South,South Atlantic,2015-01-01,335.94,48830,Low Income,918464300000,20219111
Florida,FL,South,South Atlantic,2016-01-01,366.23,51180,Low Income,964500800000,20627237
Florida,FL,South,South Atlantic,2017-01-01,399.48,53090,Low Income,1014866900000,20977089
Florida,FL,South,South Atlantic,2018-01-01,433.1,54640,Low Income,1072085600000,21254926
Florida,FL,South,South Atlantic,2019-01-01,459.33,58370,Low Income,1127988600000,21492056
Florida,FL,South,South Atlantic,2020-01-01,486.43,57760,Low Income,1140133000000,21591299
Florida,FL,South,South Atlantic,2021-01-01,531.28,59730,Low Income,1292391300000,21830708
Florida,FL,South,South Atlantic,2022-01-01,678.29,65370,Low Income,1439065000000,22245521
Georgia,GA,South,South Atlantic,1997-01-01,193.44,36660,Mid-high Income,242371900000,7486094
Georgia,GA,South,South Atlantic,1998-01-01,205.35,38670,Mid-high Income,265146400000,7636522
Georgia,GA,South,South Atlantic,1999-01-01,216.99,39430,Mid-low Income,289048900000,7788240
Georgia,GA,South,South Atlantic,2000-01-01,229.79,41900,Mid-high Income,305323700000,8227303
Georgia,GA,South,South Atlantic,2001-01-01,247.98,42580,Mid-high Income,316872700000,8377038
Georgia,GA,South,South Atlantic,2002-01-01,259.74,42940,Mid-high Income,326017900000,8508256
Georgia,GA,South,South Atlantic,2003-01-01,271.1,42440,Mid-low Income,339540500000,8622793
Georgia,GA,South,South Atlantic,2004-01-01,282.0,40980,Mid-low Income,364530100000,8769252
Georgia,GA,South,South Atlantic,2005-01-01,296.15,45930,Mid-high Income,388707200000,8925922
Georgia,GA,South,South Atlantic,2006-01-01,312.26,49340,Mid-high Income,405664200000,9155813
Georgia,GA,South,South Atlantic,2007-01-01,325.22,48640,Mid-low Income,419384800000,9349988
Georgia,GA,South,South Atlantic,2008-01-01,326.69,46230,Mid-low Income,416303500000,9504843
Georgia,GA,South,South Atlantic,2009-01-01,318.34,43340,Low Income,409876200000,9620846
Georgia,GA,South,South Atlantic,2010-01-01,286.14,44120,Low Income,419013100000,9712209
Georgia,GA,South,South Atlantic,2011-01-01,268.88,45970,Mid-low Income,433137100000,9803630
Georgia,GA,South,South Atlantic,2012-01-01,251.54,48120,Mid-low Income,449375600000,9903580
Georgia,GA,South,South Atlantic,2013-01-01,253.55,46990,Low Income,467559500000,9975592
Georgia,GA,South,South Atlantic,2014-01-01,270.16,49560,Mid-low Income,493370300000,10071204
Georgia,GA,South,South Atlantic,2015-01-01,288.17,50770,Low Income,525516800000,10183353
Georgia,GA,South,South Atlantic,2016-01-01,304.05,53530,Low Income,554903200000,10308442
Georgia,GA,South,South Atlantic,2017-01-01,323.03,57990,Mid-low Income,583543300000,10417031
Georgia,GA,South,South Atlantic,2018-01-01,347.76,55820,Low Income,612803400000,10519389
Georgia,GA,South,South Atlantic,2019-01-01,369.27,56630,Low Income,646939000000,10628020
Georgia,GA,South,South Atlantic,2020-01-01,391.95,59270,Low Income,637930600000,10732390
Georgia,GA,South,South Atlantic,2021-01-01,424.49,61500,Low Income,701606100000,10790385
Georgia,GA,South,South Atlantic,2022-01-01,525.12,67730,Mid-low Income,767377600000,10913150
Hawaii,HI,West,Pacific,1997-01-01,235.26,40930,Mid-high Income,37701700000,1189322
Hawaii,HI,West,Pacific,1998-01-01,229.61,40830,Mid-high Income,37503000000,1190472
Hawaii,HI,West,Pacific,1999-01-01,228.44,44500,Mid-high Income,38970400000,1185497
Hawaii,HI,West,Pacific,2000-01-01,229.58,51550,High Income,41089400000,1213519
Hawaii,HI,West,Pacific,2001-01-01,245.39,47440,High Income,42500200000,1225948
Hawaii,HI,West,Pacific,2002-01-01,261.06,47300,High Income,44949500000,1239613
Hawaii,HI,West,Pacific,2003-01-01,286.65,51830,High Income,48420700000,1251154
Hawaii,HI,West,Pacific,2004-01-01,334.11,56240,High Income,52625700000,1273569
Hawaii,HI,West,Pacific,2005-01-01,420.26,59590,High Income,57211800000,1292729
Hawaii,HI,West,Pacific,2006-01-01,517.95,60470,High Income,60848000000,1309731
Hawaii,HI,West,Pacific,2007-01-01,536.72,64020,High Income,64106000000,1315675
Hawaii,HI,West,Pacific,2008-01-01,528.39,61520,High Income,65545500000,1332213
Hawaii,HI,West,Pacific,2009-01-01,489.81,55650,High Income,64464300000,1346717
Hawaii,HI,West,Pacific,2010-01-01,448.79,59540,High Income,66739300000,1364004
Hawaii,HI,West,Pacific,2011-01-01,439.56,59050,High Income,68801100000,1379562
Hawaii,HI,West,Pacific,2012-01-01,444.61,56260,Mid-high Income,71645600000,1395199
Hawaii,HI,West,Pacific,2013-01-01,456.66,64240,High Income,74598500000,1408822
Hawaii,HI,West,Pacific,2014-01-01,490.21,71220,High Income,77043000000,1415335
Hawaii,HI,West,Pacific,2015-01-01,526.1,64510,High Income,81410200000,1422999
Hawaii,HI,West,Pacific,2016-01-01,558.39,72130,High Income,84287200000,1428885
Hawaii,HI,West,Pacific,2017-01-01,578.49,73600,High Income,87436400000,1425763
Hawaii,HI,West,Pacific,2018-01-01,604.94,80110,High Income,90933500000,1423102
Hawaii,HI,West,Pacific,2019-01-01,625.69,88010,High Income,93356200000,1415615
Hawaii,HI,West,Pacific,2020-01-01,638.93,80830,High Income,84615200000,1451181
Hawaii,HI,West,Pacific,2021-01-01,660.42,82200,High Income,93089800000,1446745
Hawaii,HI,West,Pacific,2022-01-01,795.93,91010,High Income,101082600000,1439399
Idaho,ID,West,Mountain,1997-01-01,184.34,33400,Mid-low Income,29699500000,1210638
Idaho,ID,West,Mountain,1998-01-01,191.92,36680,Mid-low Income,31352700000,1230923
